I_A1 / A	B_B1 / mT
0.00	6
-0.01	6
0.00	6
0.00	6
0.00	6
0.00	6
0.00	6
0.00	6
0.00	6
-0.01	6
0.00	6
0.00	6
0.00	5
0.00	6
-0.01	6
0.00	5
0.00	6
0.28	29
0.48	47
0.48	48
0.51	50
0.55	53
0.61	59
0.74	70
0.70	67
0.85	80
0.92	87
1.01	95
1.04	97
1.10	102
1.08	103
1.25	117
1.34	126
1.62	151
1.44	139
1.56	147
1.50	143
1.62	151
1.63	152
1.68	156
1.69	159
1.81	170
1.86	175
1.93	181
1.98	185
2.05	192
2.14	200
2.29	214
2.24	212
2.45	230
2.39	224
2.44	228
2.53	237
2.47	232
2.56	239
2.57	240
2.59	242
2.63	246
2.66	250
2.72	255
2.76	259
2.79	262
2.84	268
2.90	273
2.87	271
2.91	273
2.94	276
3.11	290
3.06	289
3.21	303
3.30	309
3.33	313
3.39	318
3.42	319
3.42	321
3.54	330
3.49	328
3.55	333
3.51	330
3.66	342
3.80	357
3.77	356
3.86	361
3.91	366
3.89	365
3.89	366
3.94	369
3.95	371
3.95	371
4.00	374
4.04	378
4.04	379
4.07	382
4.13	387
4.15	388
4.22	396
4.30	402
4.35	405
4.49	416
4.55	423
4.56	425
4.58	426
4.71	438
4.74	440
4.74	441
4.82	447
4.85	448
4.89	452
5.07	465
4.98	460
5.13	470
5.17	474
5.20	477
5.25	480
5.29	482
5.28	482
5.34	486
5.50	497
5.56	501
5.51	498
5.56	501
5.66	508
5.65	507
5.72	512
5.80	515
5.92	523
5.92	523
5.89	523
5.92	524
5.92	525
6.00	528
6.03	530
6.06	531
6.09	534
6.11	534
6.14	535
6.15	537
6.26	542
6.24	542
6.36	547
6.42	549
6.42	549
6.44	550
6.42	550
6.48	551
6.48	552
6.48	552
6.55	555
6.58	556
6.64	560
6.69	562
6.72	562
6.70	563
6.79	566
6.85	568
6.91	571
7.03	575
7.13	580
7.13	579
7.15	580
7.19	581
7.24	584
7.33	586
7.34	587
7.36	587
7.43	591
7.62	597
7.64	598
7.68	599
7.70	600
7.73	600
7.82	603
7.82	603
7.94	607
8.01	610
8.06	611
8.08	612
8.11	613
8.16	614
8.17	615
8.28	617
8.26	618
8.35	620
8.46	623
8.53	624
8.55	625
8.58	626
8.61	627
8.63	628
8.66	629
8.75	632
8.86	634
8.92	635
8.92	636
9.01	638
8.93	637
8.96	637
8.93	636
8.95	637
8.93	637
8.93	637
8.95	637
8.95	637
8.96	637
8.95	637
8.93	637
8.95	638
8.93	637
8.98	636
8.93	636
8.95	637
8.96	637
8.95	637
8.93	636
8.95	637
8.93	636
8.95	637
8.93	637
8.93	636
8.96	637
8.95	637
8.92	637
8.95	638
8.95	636
8.95	637
8.93	637
8.93	636
8.93	637
8.93	637
8.95	636
8.95	637
8.95	637
8.93	637
8.95	637
8.93	636
8.93	637
8.95	637
8.93	636
8.96	636
