#U_B / V	U_A / V
0.1	0.0
0.1	0.0
0.1	0.0
0.0	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.3	0.0
0.5	0.0
0.7	0.0
0.9	0.0
1.1	0.0
1.3	0.0
1.5	0.0
1.6	0.0
1.8	0.0
2.0	0.0
2.2	0.0
2.4	0.0
2.6	0.0
2.8	0.0
3.0	0.0
3.3	0.0
3.4	0.0
3.6	0.0
3.8	0.0
3.9	0.0
4.2	0.0
4.3	0.0
4.5	0.0
4.7	0.0
4.9	0.0
5.1	0.0
5.3	0.0
5.5	0.0
5.7	0.0
5.8	0.0
6.0	0.0
6.3	0.0
6.5	0.1
6.6	0.1
6.8	0.1
7.0	0.1
7.2	0.1
7.4	0.1
7.6	0.1
7.8	0.1
8.0	0.1
8.2	0.1
8.4	0.1
8.6	0.1
8.7	0.1
8.9	0.1
9.1	0.1
9.3	0.1
9.5	0.1
9.7	0.1
9.9	0.1
10.1	0.1
10.2	0.2
10.5	0.2
10.6	0.3
10.9	0.3
11.0	0.4
11.3	0.5
11.5	0.5
11.6	0.6
11.8	0.6
12.0	0.6
12.2	0.6
12.4	0.5
12.6	0.4
12.8	0.4
13.0	0.3
13.2	0.3
13.3	0.2
13.6	0.2
13.8	0.2
13.9	0.2
14.1	0.2
14.3	0.2
14.5	0.3
14.7	0.3
14.9	0.4
15.1	0.5
15.3	0.6
15.4	0.7
15.6	0.9
15.8	1.1
16.0	1.3
16.2	1.5
16.4	1.6
16.6	1.7
16.8	1.7
17.0	1.5
17.2	1.3
17.4	1.1
17.6	0.9
17.8	0.7
17.9	0.6
18.1	0.5
18.3	0.4
18.5	0.4
18.7	0.3
18.9	0.4
19.1	0.4
19.3	0.5
19.5	0.6
19.7	0.8
19.9	0.9
20.1	1.2
20.2	1.4
20.5	1.7
20.6	2.0
20.9	2.4
21.0	2.7
21.2	3.1
21.4	3.3
21.6	3.3
21.8	3.1
22.0	2.8
22.2	2.5
22.4	2.1
22.6	1.7
22.7	1.3
23.0	1.0
23.1	0.8
23.3	0.7
23.5	0.6
23.8	0.6
23.9	0.7
24.1	0.8
24.3	1.0
24.5	1.2
24.7	1.5
24.9	1.8
25.1	2.2
25.3	2.6
25.4	3.1
25.6	3.7
25.8	4.2
26.0	4.9
26.3	5.4
26.4	5.7
26.6	5.6
26.8	5.3
27.0	4.9
27.1	4.4
27.4	3.8
27.6	3.1
27.8	2.6
28.0	2.1
28.2	1.7
28.3	1.4
28.5	1.3
28.7	1.2
28.9	1.3
29.1	1.5
29.3	1.7
29.5	2.0
29.7	2.4
29.9	3.0
30.0	3.5
30.2	4.3
30.4	5.1
30.6	6.0
30.8	6.9
31.0	7.7
31.2	8.6
31.4	9.1
31.6	9.2
31.8	9.1
32.0	8.7
32.2	8.1
32.4	7.1
32.6	6.2
32.7	5.5
32.9	4.6
33.1	3.9
33.3	3.4
33.5	3.1
33.7	2.9
33.9	2.9
34.1	3.1
34.3	3.4
34.4	4.0
34.7	4.7
34.8	5.5
35.0	6.6
35.3	7.8
35.4	9.3
35.6	10.3
35.8	10.3
36.0	10.3
36.2	10.3
36.4	10.3
36.6	10.3
36.8	10.3
37.0	10.3
37.2	10.3
37.3	10.3
37.5	10.3
37.7	10.3
37.9	10.3
38.1	10.3
38.3	10.3
38.5	10.3
38.7	10.3
38.9	10.3
39.1	10.3
39.3	10.3
39.4	10.3
39.6	10.3
39.8	10.3
40.0	10.3
40.0	10.3
40.0	10.3
40.0	10.3
39.9	10.3
40.0	10.3
39.9	10.3
39.9	10.3
39.9	10.3
