1422331276.69664  129.99568  17.28534  
1422331447.16387  130.02148  17.3776   
1422331543.1872   130.03834  17.42852  
1422331785.41539  130.0743   17.56513  
1422331891.1187   130.09108  17.62353  
1422332001.99544  130.10848  17.68355  
1422332092.82502  130.11963  17.73489  
1422332265.1507   130.14332  17.82814  
1422332338.32188  130.15717  17.86917  
1422332525.38181  130.18443  17.96963  
1422332611.0187   130.20013  18.01405  
1422332688.67436  130.20717  18.05903  
1422332766.97711  130.22198  18.1004   
1422332852.95945  130.23589  18.14798  
1422332988.23984  130.25433  18.21913  
1422333085.44354  130.27039  18.27664  
1422333205.58404  130.28631  18.33795  
1422333282.80405  130.29959  18.38481  
1422333375.37689  130.31426  18.43346  
1422333456.84271  130.32465  18.47621  
1422333537.1715   130.33582  18.5193   
1422333618.22122  130.34958  18.56344  
1422333703.87557  130.35903  18.60621  
1422333975.7027   130.40253  18.7524   
1422334054.88327  130.41102  18.7981   
1422334135.80173  130.42658  18.83707  
1422334222.29835  130.44149  18.8887   
1422334304.53409  130.45884  18.92927  
1422334390.90995  130.4677   18.96935  
1422334633.52789  130.50175  19.10591  
1422334742.82334  130.51741  19.16307  
1422335034.33308  130.55716  19.31982  
1422335118.58137  130.56545  19.36004  
1422335207.77024  130.57854  19.40872  
1422335282.90102  130.59285  19.44686  
1422335408.06927  130.61642  19.51548  
1422335488.1666   130.63059  19.55496  
1422335569.90349  130.63663  19.59632  
1422337168.4982   130.86921  20.42919  
1422337346.30871  130.9017   20.51951  
1422337434.40407  130.9107   20.56664  
1422337606.08813  130.93536  20.65181  
1422337718.36019  130.95265  20.70948  
1422337822.44466  130.96923  20.76336  
1422337992.35143  130.99331  20.84776  
1422338072.23656  131.01385  20.8935   
1422338160.70944  131.01833  20.93519  
1422338264.823    131.03451  20.98607  
1422338521.99822  131.07328  21.11998  
1422328880.78672  129.63424  15.93835  
1422329346.81938  129.69958  16.20425  
1422329439.79669  129.71374  16.25702  
1422329649.00087  129.75152  16.37195  
1422329740.50024  129.76556  16.42366  
1422330054.94022  129.81334  16.60362  
1422330138.79798  129.82356  16.64445  
1422330219.31703  129.83773  16.69655  
1422330377.50921  129.86212  16.78204  
1422332015.56164  130.11085  17.6917   
