#U_G / V	d(U_G) / V	sqrt(I - I0)	d( sqrt(I - I0) )
0.0008	0.0020	2.767851	0.027965
0.1320	0.0020	2.514160	0.025457
0.3180	0.0020	2.172786	0.022093
0.4470	0.0020	1.910759	0.019523
0.5980	0.0020	1.603434	0.016530
0.7530	0.0020	1.281015	0.013433
0.8960	0.0020	0.995490	0.010760
1.0380	0.0020	0.755645	0.008627
1.1890	0.0020	0.548635	0.006986
1.3490	0.0020	0.333167	0.005897
1.4870	0.0020	0.176068	0.006863
