#U_G / V	d(U_G) / V	sqrt(I - I0)	d( sqrt(I - I0) )
0.0009	0.0020	3.654586	0.018402
0.1030	0.0020	3.392050	0.017099
0.1990	0.0020	3.113840	0.015721
0.3110	0.0020	2.757898	0.013961
0.4050	0.0020	2.434338	0.012366
0.5080	0.0020	2.113291	0.010791
0.5930	0.0020	1.848242	0.009499
0.7050	0.0020	1.498666	0.007814
0.8010	0.0020	1.223111	0.006513
0.9040	0.0020	0.972625	0.005371
0.9980	0.0020	0.778460	0.004542
1.1060	0.0020	0.544059	0.003700
1.2050	0.0020	0.309839	0.003465
1.2910	0.0020	0.161245	0.004844
