#U_G / V	d(U_G) / V	sqrt(I - I0)	d( sqrt(I - I0) )
0.0008	0.0020	2.277499	0.011572
0.0480	0.0020	2.092128	0.010662
0.1010	0.0020	1.891296	0.009680
0.1500	0.0020	1.719593	0.008844
0.2040	0.0020	1.499000	0.007779
0.2600	0.0020	1.291124	0.006788
0.3050	0.0020	1.112205	0.005951
0.3560	0.0020	0.909395	0.005033
0.4030	0.0020	0.732803	0.004285
0.4450	0.0020	0.597495	0.003776
0.5010	0.0020	0.443847	0.003349
0.5420	0.0020	0.356371	0.003263
0.5940	0.0020	0.277489	0.003400
0.6420	0.0020	0.192354	0.004060
