#U_G / V	d(U_G) / V	sqrt(I - I0)	d( sqrt(I - I0) )
0.0008	0.0020	4.350460	0.043674
0.2010	0.0020	3.837512	0.038567
0.4000	0.0020	3.365487	0.033874
0.5830	0.0020	2.857709	0.028835
0.7900	0.0020	2.312250	0.023441
0.9920	0.0020	1.812871	0.018536
1.1850	0.0020	1.347776	0.014028
1.4020	0.0020	0.903604	0.009865
1.5950	0.0020	0.580086	0.007120
1.8100	0.0020	0.257876	0.005765
2.0160	0.0020	0.162788	0.006868
