#U_G / V	d(U_G) / V	sqrt(I - I0)	d( sqrt(I - I0) )
0.0008	0.0020	3.203280	0.032311
0.0730	0.0020	2.874196	0.029052
0.1500	0.0020	2.516148	0.025516
0.2250	0.0020	2.184262	0.022251
0.3010	0.0020	1.836028	0.018847
0.3760	0.0020	1.490302	0.015504
0.4480	0.0020	1.170897	0.012476
0.5330	0.0020	0.849117	0.009557
0.6090	0.0020	0.609098	0.007597
0.6730	0.0020	0.448330	0.006564
0.7540	0.0020	0.225832	0.006583
0.8380	0.0020	0.031623	0.032558
