#U_G / V	d(U_G) / V	sqrt(I - I0)	d( sqrt(I - I0) )
0.0009	0.0020	3.191081	0.016092
0.0670	0.0020	2.898793	0.014645
0.1660	0.0020	2.456217	0.012460
0.2300	0.0020	2.161712	0.011012
0.3000	0.0020	1.839293	0.009437
0.3790	0.0020	1.477498	0.007689
0.4500	0.0020	1.192896	0.006343
0.5270	0.0020	0.879204	0.004924
0.5940	0.0020	0.642651	0.003967
0.6610	0.0020	0.482701	0.003473
0.7650	0.0020	0.207364	0.003955
