#U_G / V	d(U_G) / V	sqrt(I - I0)	d( sqrt(I - I0) )
0.0009	0.0020	3.620497	0.018230
0.0910	0.0020	3.421695	0.017244
0.2040	0.0020	3.054177	0.015422
0.2890	0.0020	2.794280	0.014137
0.4010	0.0020	2.440901	0.012395
0.5100	0.0020	2.146625	0.010950
0.6040	0.0020	1.851486	0.009510
0.7000	0.0020	1.529052	0.007953
0.8020	0.0020	1.223928	0.006508
0.8940	0.0020	0.993982	0.005456
0.9930	0.0020	0.792465	0.004586
1.1020	0.0020	0.563915	0.003742
1.2010	0.0020	0.328634	0.003402
1.3060	0.0020	0.167332	0.004668
1.4050	0.0020	0.089443	0.007906
