#U_G / V	d(U_G) / V	sqrt(I - I0)	d( sqrt(I - I0) )
0.0008	0.0020	4.303719	0.043219
0.2090	0.0020	3.862900	0.038831
0.3970	0.0020	3.334966	0.033584
0.5900	0.0020	2.867403	0.028947
0.7930	0.0020	2.328519	0.023621
1.0150	0.0020	1.732628	0.017779
1.2030	0.0020	1.285302	0.013465
1.3950	0.0020	0.923038	0.010090
1.5950	0.0020	0.584808	0.007233
1.8130	0.0020	0.268328	0.005893
1.9970	0.0020	0.148324	0.007538
