#U_G / V	d(U_G) / V	sqrt(I - I0)	d( sqrt(I - I0) )
0.0008	0.0020	2.777319	0.028085
0.1560	0.0020	2.482640	0.025176
0.3150	0.0020	2.187121	0.022268
0.4520	0.0020	1.906174	0.019517
0.6110	0.0020	1.575912	0.016311
0.7450	0.0020	1.297498	0.013647
0.9130	0.0020	0.955772	0.010476
1.0530	0.0020	0.737225	0.008572
1.1890	0.0020	0.550908	0.007137
1.3460	0.0020	0.321714	0.006107
1.4940	0.0020	0.153297	0.007882
1.6320	0.0020	0.059161	0.017403
