#U_C / V	d(U_C / V)	I_C / mV	d(I_C / mV)	I_C / nA	d(I_C / nA)
0	0.1	35	5	0.04	0.005
5.18	0.1	115	5	0.12	0.005
9.74	0.1	180	5	0.18	0.005
14.65	0.1	245	5	0.25	0.005
19.43	0.1	290	10	0.29	0.010
29.7	0.1	340	10	0.34	0.010
40	0.1	360	10	0.36	0.010
49.2	0.1	390	10	0.39	0.010
59	0.1	390	10	0.39	0.010
69.8	0.1	390	10	0.39	0.010
80.7	0.1	395	10	0.40	0.010
90.3	0.1	390	10	0.39	0.010
100.4	0.1	390	10	0.39	0.010
119.8	0.1	380	10	0.38	0.010
140.4	0.1	370	10	0.37	0.010
160.1	0.1	350	10	0.35	0.010
179.8	0.1	340	10	0.34	0.010
200.3	0.1	330	10	0.33	0.010
225	0.1	320	10	0.32	0.010
250	0.1	310	10	0.31	0.010
276.1	0.1	310	10	0.31	0.010
299.2	0.1	305	10	0.31	0.010
325.5	0.1	305	5	0.31	0.005
349.6	0.1	305	5	0.31	0.005
372.2	0.1	305	5	0.31	0.005
