#U_C / V	d(U_C / V)	I_C / mV	d(I_C / mV)	I_C / nA	d(I_C / nA)
0	0.1	30	10	0.03	0.010
5.2	0.1	300	20	0.30	0.020
9.5	0.1	550	20	0.55	0.020
14.2	0.1	810	10	0.81	0.010
19.9	0.1	1160	10	1.16	0.010
24.8	0.1	1480	10	1.48	0.010
29.2	0.1	1760	10	1.76	0.010
35.9	0.1	2180	10	2.18	0.010
40.5	0.1	2490	10	2.49	0.010
44.6	0.1	2730	10	2.73	0.010
49.1	0.1	3020	10	3.02	0.010
60.6	0.1	3640	10	3.64	0.010
68.8	0.1	3960	20	3.96	0.020
80.4	0.1	4330	20	4.33	0.020
89	0.1	4480	20	4.48	0.020
100.9	0.1	4680	20	4.68	0.020
119	0.1	4700	20	4.70	0.020
139.7	0.1	4970	20	4.97	0.020
159.9	0.1	5000	20	5.00	0.020
182.9	0.1	5000	20	5.00	0.020
202	0.1	5020	20	5.02	0.020
218.3	0.1	5050	50	5.05	0.050
243.7	0.1	5020	50	5.02	0.050
261.1	0.1	5000	50	5.00	0.050
280	0.1	4990	20	4.99	0.020
300.5	0.1	4980	20	4.98	0.020
326	0.1	4970	20	4.97	0.020
350.3	0.1	4950	20	4.95	0.020
374.6	0.1	4930	20	4.93	0.020
