#U / kV	d(U / kV)	I_C / mV	d(I_C / mV)	I_C / nA	d(I_C / nA)
0.00	0.05	13	2	0.13	0.02
2.50	0.05	13	2	0.13	0.02
5.00	0.05	38	2	0.38	0.02
7.50	0.05	180	5	1.80	0.05
10.00	0.05	550	10	5.50	0.10
12.50	0.05	1090	10	10.90	0.10
15.00	0.05	1700	10	17.00	0.10
17.50	0.05	2330	10	23.30	0.10
20.00	0.05	2960	10	29.60	0.10
22.50	0.05	3510	10	35.10	0.10
25.00	0.05	3990	10	39.90	0.10
27.50	0.05	4390	10	43.90	0.10
30.00	0.05	4730	10	47.30	0.10
32.50	0.05	5020	10	50.20	0.10
35.00	0.05	5260	20	52.60	0.20
