n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	1
31	0
32	0
33	0
34	1
35	1
36	1
37	1
38	1
39	3
40	1
41	5
42	2
43	2
44	4
45	4
46	2
47	5
48	2
49	2
50	8
51	3
52	3
53	6
54	3
55	5
56	6
57	9
58	7
59	7
60	3
61	6
62	3
63	7
64	8
65	10
66	4
67	5
68	6
69	8
70	8
71	11
72	6
73	3
74	6
75	8
76	4
77	7
78	8
79	14
80	3
81	11
82	14
83	10
84	9
85	12
86	11
87	12
88	11
89	9
90	18
91	14
92	12
93	19
94	15
95	29
96	25
97	28
98	27
99	30
100	37
101	46
102	44
103	67
104	49
105	79
106	89
107	73
108	65
109	74
110	60
111	59
112	59
113	40
114	50
115	58
116	69
117	64
118	74
119	69
120	120
121	202
122	284
123	480
124	679
125	1052
126	1438
127	1770
128	2127
129	2444
130	2400
131	2259
132	2021
133	1712
134	1479
135	1496
136	1573
137	1686
138	1711
139	1712
140	1510
141	1233
142	888
143	719
144	479
145	332
146	162
147	138
148	104
149	89
150	98
151	103
152	110
153	100
154	65
155	54
156	38
157	19
158	11
159	9
160	12
161	9
162	13
163	12
164	12
165	10
166	16
167	15
168	17
169	11
170	3
171	5
172	4
173	3
174	3
175	2
176	0
177	3
178	2
179	3
180	1
181	4
182	3
183	5
184	7
185	5
186	1
187	8
188	9
189	12
190	11
191	11
192	10
193	12
194	15
195	26
196	21
197	19
198	20
199	22
200	8
201	14
202	8
203	6
204	9
205	9
206	2
207	7
208	6
209	7
210	2
211	6
212	3
213	3
214	3
215	3
216	4
217	5
218	1
219	2
220	4
221	3
222	4
223	3
224	6
225	4
226	3
227	8
228	3
229	2
230	4
231	2
232	1
233	1
234	7
235	2
236	3
237	3
238	2
239	1
240	2
241	4
242	3
243	4
244	3
245	2
246	1
247	3
248	3
249	1
250	2
251	2
252	3
253	2
254	7
255	2
256	2
257	1
258	1
259	1
260	1
261	2
262	0
263	2
264	2
265	2
266	0
267	0
268	0
269	1
270	2
271	4
272	1
273	1
274	0
275	0
276	1
277	0
278	1
279	1
280	0
281	0
282	2
283	0
284	1
285	0
286	0
287	1
288	0
289	2
290	1
291	0
292	0
293	0
294	1
295	1
296	0
297	0
298	1
299	0
300	0
301	0
302	2
303	0
304	0
305	0
306	0
307	0
308	0
309	1
310	0
311	0
312	2
313	0
314	0
315	1
316	0
317	0
318	1
319	1
320	0
321	0
322	0
323	0
324	0
325	1
326	0
327	0
328	0
329	1
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	1
342	0
343	0
344	2
345	0
346	1
347	0
348	0
349	1
350	0
351	1
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	1
384	0
385	1
386	0
387	0
388	0
389	0
390	0
391	1
392	0
393	1
394	0
395	1
396	0
397	1
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	1
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	1
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	1
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	1
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	1
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
