n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	1
34	0
35	1
36	1
37	7
38	3
39	7
40	6
41	5
42	8
43	8
44	4
45	9
46	5
47	5
48	9
49	17
50	7
51	13
52	8
53	12
54	10
55	5
56	10
57	13
58	11
59	6
60	11
61	8
62	15
63	3
64	13
65	9
66	13
67	10
68	11
69	12
70	10
71	11
72	8
73	5
74	9
75	8
76	10
77	14
78	12
79	16
80	15
81	12
82	18
83	22
84	19
85	15
86	15
87	18
88	14
89	20
90	17
91	14
92	20
93	15
94	15
95	21
96	30
97	17
98	31
99	29
100	28
101	21
102	35
103	37
104	48
105	41
106	48
107	60
108	48
109	53
110	52
111	51
112	36
113	42
114	52
115	58
116	46
117	53
118	60
119	77
120	125
121	219
122	317
123	516
124	777
125	1154
126	1618
127	2018
128	2292
129	2689
130	2604
131	2548
132	2235
133	1810
134	1615
135	1477
136	1606
137	1671
138	1581
139	1712
140	1484
141	1236
142	1028
143	726
144	486
145	322
146	216
147	112
148	91
149	81
150	93
151	81
152	80
153	84
154	60
155	53
156	26
157	27
158	17
159	6
160	13
161	4
162	4
163	3
164	6
165	2
166	3
167	2
168	2
169	3
170	2
171	1
172	1
173	2
174	2
175	3
176	2
177	2
178	2
179	2
180	1
181	2
182	4
183	1
184	3
185	2
186	7
187	8
188	2
189	7
190	11
191	9
192	9
193	10
194	12
195	12
196	15
197	11
198	9
199	9
200	6
201	8
202	15
203	14
204	8
205	7
206	6
207	4
208	4
209	6
210	10
211	6
212	9
213	2
214	10
215	4
216	3
217	2
218	4
219	6
220	0
221	3
222	4
223	2
224	4
225	2
226	2
227	3
228	1
229	0
230	0
231	2
232	1
233	0
234	5
235	2
236	3
237	0
238	0
239	3
240	7
241	5
242	6
243	2
244	1
245	5
246	1
247	2
248	4
249	3
250	2
251	2
252	3
253	6
254	5
255	4
256	1
257	2
258	1
259	5
260	1
261	0
262	2
263	4
264	1
265	1
266	1
267	1
268	1
269	2
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	1
284	0
285	0
286	1
287	0
288	0
289	0
290	0
291	0
292	0
293	1
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	1
302	0
303	1
304	1
305	1
306	1
307	0
308	0
309	0
310	0
311	1
312	0
313	0
314	1
315	0
316	2
317	1
318	0
319	0
320	0
321	0
322	0
323	0
324	1
325	0
326	0
327	0
328	2
329	0
330	0
331	1
332	1
333	1
334	0
335	0
336	0
337	0
338	0
339	1
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	1
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	1
367	0
368	0
369	0
370	1
371	1
372	0
373	1
374	1
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	1
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	1
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	1
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
