#U_B / V	U_A / V
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.4	0.0
0.6	0.0
0.7	0.0
1.0	0.0
1.1	0.0
1.4	0.0
1.6	0.0
1.8	0.0
2.0	0.0
2.2	0.0
2.3	0.0
2.6	0.0
2.8	0.0
2.9	0.0
3.2	0.0
3.4	0.0
3.6	0.0
3.8	0.0
4.0	0.0
4.2	0.0
4.4	0.0
4.6	0.0
4.8	0.0
5.0	0.0
5.2	0.0
5.4	0.0
5.6	0.0
5.8	0.0
6.0	0.0
6.2	0.0
6.4	0.0
6.6	0.0
6.8	0.0
7.0	0.0
7.2	0.0
7.4	0.0
7.6	0.0
7.8	0.0
8.0	0.0
8.2	0.0
8.4	0.0
8.6	0.0
8.8	0.0
9.0	0.0
9.2	0.0
9.5	0.0
9.6	0.0
9.8	0.0
10.0	0.0
10.3	0.0
10.4	0.0
10.6	0.0
10.8	0.0
11.0	0.0
11.2	0.1
11.5	0.1
11.6	0.1
11.8	0.1
12.0	0.1
12.3	0.1
12.4	0.1
12.6	0.1
12.9	0.1
13.0	0.1
13.2	0.1
13.4	0.1
13.6	0.1
13.9	0.0
14.0	0.0
14.3	0.0
14.5	0.0
14.6	0.0
14.8	0.0
15.1	0.0
15.3	0.0
15.4	0.1
15.7	0.1
15.9	0.1
16.1	0.2
16.2	0.3
16.4	0.3
16.7	0.4
16.9	0.4
17.1	0.4
17.3	0.3
17.5	0.3
17.7	0.3
17.8	0.2
18.1	0.2
18.3	0.1
18.5	0.1
18.6	0.1
18.9	0.1
19.0	0.1
19.3	0.0
19.5	0.0
19.7	0.0
19.9	0.0
20.1	0.1
20.3	0.1
20.6	0.2
20.7	0.3
20.9	0.4
21.1	0.5
21.2	0.7
21.5	0.8
21.7	0.8
22.0	0.8
22.1	0.7
22.3	0.7
22.5	0.5
22.7	0.5
22.9	0.3
23.1	0.3
23.3	0.2
23.5	0.2
23.7	0.1
23.9	0.1
24.1	0.1
24.3	0.1
24.5	0.1
24.7	0.1
25.0	0.1
25.1	0.2
25.4	0.3
25.6	0.4
25.8	0.6
25.9	0.8
26.1	1.0
26.3	1.3
26.5	1.4
26.8	1.4
27.0	1.4
27.2	1.3
27.4	1.1
27.6	0.9
27.8	0.8
28.0	0.6
28.2	0.5
28.3	0.4
28.5	0.3
28.7	0.2
29.0	0.2
29.2	0.1
29.4	0.1
29.6	0.1
29.8	0.2
30.0	0.2
30.2	0.3
30.3	0.5
30.6	0.8
30.8	1.0
31.0	1.4
31.2	1.8
31.3	2.0
31.6	2.2
31.8	2.3
32.0	2.2
32.2	2.1
32.3	1.9
32.6	1.6
32.8	1.4
33.0	1.1
33.2	0.9
33.4	0.7
33.6	0.6
33.8	0.5
33.9	0.4
34.1	0.3
34.4	0.3
34.6	0.3
34.8	0.3
35.1	0.5
35.3	0.7
35.4	1.0
35.6	1.4
35.8	1.8
36.0	2.4
36.2	2.9
36.5	3.4
36.6	3.7
36.9	3.9
36.9	4.0
37.2	3.9
37.4	3.6
37.6	3.3
37.8	3.0
38.0	2.6
38.2	2.2
38.4	1.9
38.6	1.6
38.9	1.3
39.0	1.1
39.3	1.0
39.5	0.9
39.6	0.9
39.9	1.0
40.0	1.2
40.3	1.6
40.4	2.1
40.6	2.9
40.8	3.8
41.0	4.9
41.2	6.2
41.5	7.3
41.6	8.5
41.8	9.4
41.9	9.8
41.9	9.8
42.0	9.8
41.9	9.8
41.9	9.8
41.9	9.8
41.9	9.8
41.9	9.8
42.0	9.8
42.0	9.8
41.9	9.8
41.9	9.8
41.9	9.8
41.9	9.8
42.0	9.9
41.9	9.9
42.0	9.9
41.9	9.9
41.9	9.9
41.9	9.9
41.9	9.9
41.9	9.9
41.9	9.9
42.0	9.9
42.0	9.9
41.9	9.9
41.9	9.9
42.0	9.9
41.9	9.9
41.9	9.9
