#U_B / V	U_A / V
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.2	0.0
0.5	0.0
0.7	0.0
0.9	0.0
1.1	0.0
1.3	0.0
1.5	0.0
1.7	0.0
1.9	0.0
2.1	0.0
2.3	0.0
2.6	0.0
2.7	0.0
2.9	0.0
3.1	0.0
3.3	0.0
3.5	0.0
3.7	0.0
3.9	0.0
4.1	0.0
4.3	0.0
4.5	0.0
4.7	0.0
4.9	0.0
5.1	0.0
5.3	0.0
5.5	0.0
5.7	0.0
5.9	0.0
6.1	0.0
6.3	0.0
6.5	0.0
6.7	0.0
6.9	0.0
7.1	0.0
7.3	0.0
7.5	0.0
7.7	0.0
8.0	0.0
8.1	0.0
8.3	0.0
8.5	0.0
8.7	0.0
8.9	0.0
9.1	0.0
9.4	0.0
9.5	0.0
9.8	0.0
9.9	0.0
10.2	0.0
10.3	0.0
10.5	0.0
10.7	0.0
10.9	0.0
11.1	0.1
11.3	0.1
11.5	0.1
11.7	0.1
11.9	0.1
12.1	0.1
12.3	0.1
12.5	0.1
12.8	0.1
13.0	0.1
13.1	0.1
13.3	0.1
13.6	0.1
13.8	0.1
13.9	0.1
14.2	0.1
14.3	0.0
14.6	0.0
14.7	0.0
14.9	0.1
15.1	0.1
15.4	0.1
15.6	0.2
15.8	0.2
16.0	0.3
16.2	0.4
16.4	0.5
16.6	0.6
16.8	0.6
17.0	0.6
17.2	0.5
17.4	0.5
17.6	0.4
17.8	0.3
18.0	0.3
18.1	0.2
18.4	0.2
18.6	0.2
18.8	0.1
19.1	0.1
19.2	0.1
19.4	0.1
19.6	0.1
19.8	0.1
20.0	0.2
20.2	0.3
20.4	0.4
20.6	0.5
20.8	0.7
21.0	0.9
21.2	1.1
21.4	1.2
21.6	1.3
21.9	1.2
22.0	1.1
22.2	1.0
22.5	0.8
22.6	0.7
22.8	0.5
23.0	0.4
23.3	0.3
23.4	0.2
23.6	0.2
23.8	0.2
24.0	0.1
24.2	0.1
24.4	0.1
24.7	0.2
24.8	0.3
25.1	0.4
25.2	0.6
25.4	0.7
25.7	1.0
25.8	1.3
26.1	1.7
26.3	1.9
26.5	2.1
26.7	2.1
26.9	2.0
27.1	1.8
27.3	1.6
27.6	1.3
27.7	1.1
27.9	0.9
28.1	0.7
28.3	0.5
28.5	0.4
28.7	0.3
28.9	0.3
29.1	0.2
29.3	0.2
29.5	0.3
29.7	0.4
29.9	0.5
30.1	0.7
30.2	1.0
30.5	1.3
30.6	1.7
30.9	2.2
31.1	2.6
31.3	3.0
31.5	3.2
31.7	3.2
31.9	3.1
32.1	2.9
32.4	2.6
32.5	2.2
32.7	1.9
32.9	1.5
33.1	1.3
33.3	1.0
33.5	0.8
33.7	0.6
33.9	0.5
34.1	0.5
34.3	0.5
34.5	0.5
34.7	0.7
34.9	0.9
35.1	1.3
35.3	1.7
35.5	2.3
35.8	2.9
35.9	3.6
36.2	4.2
36.3	4.8
36.5	5.1
36.7	5.3
36.9	5.3
37.2	5.1
37.3	4.7
37.5	4.2
37.8	3.8
38.0	3.3
38.2	2.7
38.4	2.3
38.5	1.9
38.8	1.6
39.0	1.4
39.1	1.3
39.4	1.3
39.6	1.4
39.8	1.7
40.0	2.1
40.1	2.7
40.4	3.4
40.6	4.4
40.7	5.5
41.0	6.9
41.2	8.1
41.4	9.4
41.6	10.3
41.7	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
42.0	10.3
41.9	10.3
41.9	10.3
41.9	10.3
42.0	10.3
41.9	10.3
41.9	10.3
41.9	10.3
41.9	10.3
42.0	10.3
41.9	10.3
42.0	10.3
41.9	10.3
41.9	10.3
41.9	10.3
