#I_E / mA	d(I_E / mA)	I_C / mV	d(I_C / mV)	I_C / nA	d(I_C / nA)
0.0	0.005	55	5	0.06	0.0050
0.1	0.005	630	10	0.63	0.0118
0.2	0.005	1150	10	1.15	0.0152
0.3	0.005	1640	20	1.64	0.0259
0.4	0.005	2160	20	2.16	0.0294
0.5	0.005	2650	20	2.65	0.0332
0.6	0.005	3110	20	3.11	0.0370
0.7	0.005	3580	20	3.58	0.0410
0.8	0.005	4050	50	4.05	0.0643
0.9	0.005	4500	50	4.50	0.0673
1.0	0.005	5000	50	5.00	0.0707
